Request_id,Pickup_point,Driver_id,Status,Request_date,Request_time,Drop_date,Drop_time
77,City,171,Cancelled,11/7/2016,4:46:00 AM,NA,NA
78,City,NA,No Cars Available,11/7/2016,4:45:00 AM,NA,NA
79,City,NA,No Cars Available,11/7/2016,4:43:00 AM,NA,NA
80,City,3,Cancelled,11/7/2016,4:47:00 AM,NA,NA
81,Airport,73,Trip Completed,11/7/2016,4:47:00 AM,11/7/2016,6:00:00 AM
82,Airport,290,Trip Completed,11/7/2016,4:47:00 AM,11/7/2016,5:23:00 AM
83,City,NA,No Cars Available,11/7/2016,4:44:00 AM,NA,NA
84,City,28,Trip Completed,11/7/2016,4:50:00 AM,11/7/2016,5:26:00 AM
85,City,144,Cancelled,11/7/2016,4:47:00 AM,NA,NA
86,City,174,Cancelled,11/7/2016,4:51:00 AM,NA,NA
87,City,213,Trip Completed,11/7/2016,4:46:00 AM,11/7/2016,5:26:00 AM
88,Airport,76,Trip Completed,11/7/2016,4:54:00 AM,11/7/2016,6:07:00 AM
89,City,280,Trip Completed,11/7/2016,4:52:00 AM,11/7/2016,5:51:00 AM
90,Airport,126,Trip Completed,11/7/2016,4:53:00 AM,11/7/2016,5:34:00 AM
91,Airport,234,Trip Completed,11/7/2016,4:49:00 AM,11/7/2016,5:39:00 AM
92,City,16,Cancelled,11/7/2016,4:53:00 AM,NA,NA
93,City,69,Trip Completed,11/7/2016,4:53:00 AM,11/7/2016,5:30:00 AM
94,City,265,Trip Completed,11/7/2016,4:59:00 AM,11/7/2016,5:58:00 AM
95,Airport,270,Trip Completed,11/7/2016,4:54:00 AM,11/7/2016,6:03:00 AM
96,City,21,Cancelled,11/7/2016,4:58:00 AM,NA,NA
97,City,138,Trip Completed,11/7/2016,5:01:00 AM,11/7/2016,5:39:00 AM
98,City,205,Cancelled,11/7/2016,4:58:00 AM,NA,NA
99,City,70,Cancelled,11/7/2016,5:00:00 AM,NA,NA
100,City,256,Trip Completed,11/7/2016,5:00:00 AM,11/7/2016,5:47:00 AM
101,Airport,99,Trip Completed,11/7/2016,5:08:00 AM,11/7/2016,6:09:00 AM
102,Airport,100,Trip Completed,11/7/2016,5:01:00 AM,11/7/2016,5:38:00 AM
103,City,NA,No Cars Available,11/7/2016,5:02:00 AM,NA,NA
104,City,NA,No Cars Available,11/7/2016,5:00:00 AM,NA,NA
105,City,182,Cancelled,11/7/2016,4:58:00 AM,NA,NA
106,City,194,Trip Completed,11/7/2016,5:06:00 AM,11/7/2016,5:38:00 AM
107,City,215,Cancelled,11/7/2016,5:02:00 AM,NA,NA
108,City,248,Cancelled,11/7/2016,5:09:00 AM,NA,NA
109,City,284,Cancelled,11/7/2016,5:01:00 AM,NA,NA
110,City,22,Trip Completed,11/7/2016,5:05:00 AM,11/7/2016,6:06:00 AM
111,City,62,Cancelled,11/7/2016,5:06:00 AM,NA,NA
112,Airport,116,Trip Completed,11/7/2016,5:01:00 AM,11/7/2016,6:04:00 AM
113,City,185,Cancelled,11/7/2016,5:09:00 AM,NA,NA
114,City,217,Trip Completed,11/7/2016,5:10:00 AM,11/7/2016,5:40:00 AM
115,City,244,Cancelled,11/7/2016,5:14:00 AM,NA,NA
116,Airport,286,Trip Completed,11/7/2016,5:07:00 AM,11/7/2016,5:53:00 AM
117,City,NA,No Cars Available,11/7/2016,5:13:00 AM,NA,NA
118,Airport,44,Trip Completed,11/7/2016,5:11:00 AM,11/7/2016,5:52:00 AM
119,City,204,Cancelled,11/7/2016,5:10:00 AM,NA,NA
120,City,268,Cancelled,11/7/2016,5:04:00 AM,NA,NA
121,Airport,63,Trip Completed,11/7/2016,5:13:00 AM,11/7/2016,6:08:00 AM
122,City,124,Cancelled,11/7/2016,5:14:00 AM,NA,NA
123,City,130,Trip Completed,11/7/2016,5:12:00 AM,11/7/2016,6:14:00 AM
124,City,NA,No Cars Available,11/7/2016,5:12:00 AM,NA,NA
125,City,38,Trip Completed,11/7/2016,5:12:00 AM,11/7/2016,6:17:00 AM
126,City,40,Cancelled,11/7/2016,5:05:00 AM,NA,NA
127,City,173,Cancelled,11/7/2016,5:10:00 AM,NA,NA
128,City,43,Trip Completed,11/7/2016,5:12:00 AM,11/7/2016,5:48:00 AM
129,City,189,Cancelled,11/7/2016,5:10:00 AM,NA,NA
130,City,206,Cancelled,11/7/2016,5:12:00 AM,NA,NA
131,City,NA,No Cars Available,11/7/2016,5:10:00 AM,NA,NA
132,City,21,Cancelled,11/7/2016,5:15:00 AM,NA,NA
133,City,247,Cancelled,11/7/2016,5:14:00 AM,NA,NA
134,Airport,121,Trip Completed,11/7/2016,5:13:00 AM,11/7/2016,6:14:00 AM
135,City,NA,No Cars Available,11/7/2016,5:20:00 AM,NA,NA
136,City,NA,No Cars Available,11/7/2016,5:19:00 AM,NA,NA
137,City,NA,No Cars Available,11/7/2016,5:17:00 AM,NA,NA
138,City,NA,No Cars Available,11/7/2016,5:20:00 AM,NA,NA
139,Airport,14,Trip Completed,11/7/2016,5:21:00 AM,11/7/2016,6:09:00 AM
140,City,279,Cancelled,11/7/2016,5:17:00 AM,NA,NA
141,City,49,Cancelled,11/7/2016,5:20:00 AM,NA,NA
142,City,134,Trip Completed,11/7/2016,5:25:00 AM,11/7/2016,6:19:00 AM
143,Airport,157,Trip Completed,11/7/2016,5:24:00 AM,11/7/2016,6:01:00 AM
144,City,291,Cancelled,11/7/2016,5:24:00 AM,NA,NA
145,City,33,Trip Completed,11/7/2016,5:32:00 AM,11/7/2016,6:37:00 AM
146,Airport,191,Trip Completed,11/7/2016,5:29:00 AM,11/7/2016,6:08:00 AM
147,City,267,Cancelled,11/7/2016,5:26:00 AM,NA,NA
148,Airport,105,Trip Completed,11/7/2016,5:36:00 AM,11/7/2016,6:46:00 AM
149,City,111,Cancelled,11/7/2016,5:29:00 AM,NA,NA
150,City,9,Cancelled,11/7/2016,5:24:00 AM,NA,NA
151,City,290,Cancelled,11/7/2016,5:27:00 AM,NA,NA
152,City,294,Trip Completed,11/7/2016,5:29:00 AM,11/7/2016,6:16:00 AM
153,City,NA,No Cars Available,11/7/2016,5:33:00 AM,NA,NA
154,City,NA,No Cars Available,11/7/2016,5:31:00 AM,NA,NA
155,City,13,Trip Completed,11/7/2016,5:32:00 AM,11/7/2016,6:28:00 AM
156,Airport,96,Trip Completed,11/7/2016,5:35:00 AM,11/7/2016,6:40:00 AM
157,City,226,Cancelled,11/7/2016,5:38:00 AM,NA,NA
158,City,289,Trip Completed,11/7/2016,5:35:00 AM,11/7/2016,6:41:00 AM
159,City,NA,No Cars Available,11/7/2016,5:43:00 AM,NA,NA
160,Airport,72,Trip Completed,11/7/2016,5:38:00 AM,11/7/2016,6:34:00 AM
161,Airport,107,Trip Completed,11/7/2016,5:36:00 AM,11/7/2016,6:10:00 AM
162,City,70,Cancelled,11/7/2016,5:34:00 AM,NA,NA
163,City,161,Trip Completed,11/7/2016,5:35:00 AM,11/7/2016,6:49:00 AM
164,City,137,Cancelled,11/7/2016,5:40:00 AM,NA,NA
165,Airport,199,Trip Completed,11/7/2016,5:39:00 AM,11/7/2016,6:11:00 AM
166,City,269,Cancelled,11/7/2016,5:41:00 AM,NA,NA
167,City,NA,No Cars Available,11/7/2016,5:40:00 AM,NA,NA
168,City,62,Cancelled,11/7/2016,5:37:00 AM,NA,NA
169,City,184,Trip Completed,11/7/2016,5:45:00 AM,11/7/2016,6:48:00 AM
170,City,113,Trip Completed,11/7/2016,5:45:00 AM,11/7/2016,6:39:00 AM
171,City,NA,No Cars Available,11/7/2016,5:39:00 AM,NA,NA
172,Airport,59,Trip Completed,11/7/2016,5:41:00 AM,11/7/2016,6:19:00 AM
173,City,188,Trip Completed,11/7/2016,5:45:00 AM,11/7/2016,6:30:00 AM
174,Airport,119,Cancelled,11/7/2016,5:44:00 AM,NA,NA
175,City,160,Cancelled,11/7/2016,5:45:00 AM,NA,NA
176,City,67,Cancelled,11/7/2016,5:42:00 AM,NA,NA
177,City,169,Cancelled,11/7/2016,5:48:00 AM,NA,NA
178,City,NA,No Cars Available,11/7/2016,5:47:00 AM,NA,NA
179,City,NA,No Cars Available,11/7/2016,5:49:00 AM,NA,NA
180,Airport,112,Trip Completed,11/7/2016,5:48:00 AM,11/7/2016,6:28:00 AM
181,City,159,Cancelled,11/7/2016,5:46:00 AM,NA,NA
182,Airport,225,Trip Completed,11/7/2016,5:46:00 AM,11/7/2016,6:58:00 AM
183,City,252,Trip Completed,11/7/2016,5:49:00 AM,11/7/2016,6:29:00 AM
184,City,292,Cancelled,11/7/2016,5:49:00 AM,NA,NA
185,City,236,Cancelled,11/7/2016,5:43:00 AM,NA,NA
186,City,288,Cancelled,11/7/2016,5:48:00 AM,NA,NA
187,City,62,Cancelled,11/7/2016,5:57:00 AM,NA,NA
188,City,114,Cancelled,11/7/2016,5:54:00 AM,NA,NA
189,City,NA,No Cars Available,11/7/2016,5:58:00 AM,NA,NA
190,City,NA,No Cars Available,11/7/2016,5:53:00 AM,NA,NA
191,Airport,37,Trip Completed,11/7/2016,5:55:00 AM,11/7/2016,6:45:00 AM
192,City,202,Cancelled,11/7/2016,5:56:00 AM,NA,NA
193,City,213,Cancelled,11/7/2016,5:58:00 AM,NA,NA
194,City,NA,No Cars Available,11/7/2016,6:05:00 AM,NA,NA
195,City,297,Trip Completed,11/7/2016,6:05:00 AM,11/7/2016,6:52:00 AM
196,Airport,24,Cancelled,11/7/2016,6:07:00 AM,NA,NA
197,City,202,Trip Completed,11/7/2016,6:00:00 AM,11/7/2016,6:49:00 AM
198,Airport,249,Trip Completed,11/7/2016,6:03:00 AM,11/7/2016,6:44:00 AM
199,City,NA,No Cars Available,11/7/2016,6:07:00 AM,NA,NA
200,City,36,Cancelled,11/7/2016,6:10:00 AM,NA,NA
201,City,76,Trip Completed,11/7/2016,6:09:00 AM,11/7/2016,7:20:00 AM
202,City,94,Cancelled,11/7/2016,6:09:00 AM,NA,NA
203,City,NA,No Cars Available,11/7/2016,6:07:00 AM,NA,NA
204,City,27,Trip Completed,11/7/2016,6:04:00 AM,11/7/2016,6:44:00 AM
205,Airport,230,Trip Completed,11/7/2016,6:10:00 AM,11/7/2016,7:10:00 AM
206,City,232,Trip Completed,11/7/2016,6:07:00 AM,11/7/2016,6:37:00 AM
207,City,NA,No Cars Available,11/7/2016,6:06:00 AM,NA,NA
208,Airport,NA,No Cars Available,11/7/2016,6:05:00 AM,NA,NA
209,City,50,Cancelled,11/7/2016,6:11:00 AM,NA,NA
210,City,79,Cancelled,11/7/2016,6:12:00 AM,NA,NA
211,City,100,Trip Completed,11/7/2016,6:08:00 AM,11/7/2016,6:47:00 AM
212,City,106,Cancelled,11/7/2016,6:09:00 AM,NA,NA
213,City,116,Trip Completed,11/7/2016,6:15:00 AM,11/7/2016,6:57:00 AM
214,City,215,Trip Completed,11/7/2016,6:13:00 AM,11/7/2016,6:53:00 AM
215,City,14,Trip Completed,11/7/2016,6:15:00 AM,11/7/2016,7:07:00 AM
216,City,54,Cancelled,11/7/2016,6:13:00 AM,NA,NA
217,City,183,Cancelled,11/7/2016,6:12:00 AM,NA,NA
218,City,30,Cancelled,11/7/2016,6:14:00 AM,NA,NA
219,City,283,Cancelled,11/7/2016,6:15:00 AM,NA,NA
220,Airport,203,Trip Completed,11/7/2016,6:11:00 AM,11/7/2016,6:55:00 AM
221,City,NA,No Cars Available,11/7/2016,6:16:00 AM,NA,NA
222,Airport,247,Trip Completed,11/7/2016,6:20:00 AM,11/7/2016,7:10:00 AM
223,Airport,160,Trip Completed,11/7/2016,6:13:00 AM,11/7/2016,7:05:00 AM
224,City,191,Cancelled,11/7/2016,6:17:00 AM,NA,NA
225,City,245,Trip Completed,11/7/2016,6:16:00 AM,11/7/2016,7:28:00 AM
226,City,NA,No Cars Available,11/7/2016,6:21:00 AM,NA,NA
227,Airport,151,Cancelled,11/7/2016,6:20:00 AM,NA,NA
228,City,NA,No Cars Available,11/7/2016,6:24:00 AM,NA,NA
229,City,131,Cancelled,11/7/2016,6:23:00 AM,NA,NA
230,City,NA,No Cars Available,11/7/2016,6:27:00 AM,NA,NA
231,City,NA,No Cars Available,11/7/2016,6:26:00 AM,NA,NA
232,City,22,Cancelled,11/7/2016,6:26:00 AM,NA,NA
233,City,9,Cancelled,11/7/2016,6:27:00 AM,NA,NA
234,City,54,Trip Completed,11/7/2016,6:27:00 AM,11/7/2016,7:23:00 AM
235,City,61,Cancelled,11/7/2016,6:22:00 AM,NA,NA
236,City,24,Cancelled,11/7/2016,6:32:00 AM,NA,NA
237,City,56,Cancelled,11/7/2016,6:29:00 AM,NA,NA
238,City,42,Trip Completed,11/7/2016,6:27:00 AM,11/7/2016,7:15:00 AM
239,City,98,Cancelled,11/7/2016,6:25:00 AM,NA,NA
240,City,168,Cancelled,11/7/2016,6:29:00 AM,NA,NA
241,City,108,Trip Completed,11/7/2016,6:31:00 AM,11/7/2016,7:17:00 AM
242,Airport,139,Trip Completed,11/7/2016,6:31:00 AM,11/7/2016,7:21:00 AM
243,City,144,Trip Completed,11/7/2016,6:34:00 AM,11/7/2016,7:09:00 AM
244,City,211,Cancelled,11/7/2016,6:31:00 AM,NA,NA
245,City,69,Cancelled,11/7/2016,6:33:00 AM,NA,NA
246,Airport,87,Trip Completed,11/7/2016,6:35:00 AM,11/7/2016,7:10:00 AM
247,City,7,Cancelled,11/7/2016,6:33:00 AM,NA,NA
248,City,166,Trip Completed,11/7/2016,6:38:00 AM,11/7/2016,7:45:00 AM
249,City,39,Trip Completed,11/7/2016,6:31:00 AM,11/7/2016,7:14:00 AM
250,Airport,66,Trip Completed,11/7/2016,6:29:00 AM,11/7/2016,7:34:00 AM
251,Airport,268,Trip Completed,11/7/2016,6:36:00 AM,11/7/2016,7:08:00 AM
252,City,107,Cancelled,11/7/2016,6:36:00 AM,NA,NA
253,City,130,Cancelled,11/7/2016,6:43:00 AM,NA,NA
254,City,NA,No Cars Available,11/7/2016,6:40:00 AM,NA,NA
255,City,NA,No Cars Available,11/7/2016,6:44:00 AM,NA,NA
256,Airport,80,Trip Completed,11/7/2016,6:44:00 AM,11/7/2016,7:38:00 AM
257,Airport,89,Trip Completed,11/7/2016,6:38:00 AM,11/7/2016,7:50:00 AM
258,Airport,273,Trip Completed,11/7/2016,6:36:00 AM,11/7/2016,7:19:00 AM
259,City,NA,No Cars Available,11/7/2016,6:46:00 AM,NA,NA
260,City,118,Trip Completed,11/7/2016,6:45:00 AM,11/7/2016,7:54:00 AM
261,City,165,Cancelled,11/7/2016,6:42:00 AM,NA,NA
262,City,220,Cancelled,11/7/2016,6:41:00 AM,NA,NA
263,City,NA,No Cars Available,11/7/2016,6:44:00 AM,NA,NA
264,City,12,Trip Completed,11/7/2016,6:51:00 AM,11/7/2016,7:40:00 AM
265,City,193,Cancelled,11/7/2016,6:47:00 AM,NA,NA
266,City,NA,No Cars Available,11/7/2016,6:47:00 AM,NA,NA
267,City,2,Trip Completed,11/7/2016,6:46:00 AM,11/7/2016,7:25:00 AM
268,City,206,Cancelled,11/7/2016,6:52:00 AM,NA,NA
269,City,81,Trip Completed,11/7/2016,6:44:00 AM,11/7/2016,7:43:00 AM
270,City,124,Trip Completed,11/7/2016,6:54:00 AM,11/7/2016,7:50:00 AM
271,Airport,243,Trip Completed,11/7/2016,6:53:00 AM,11/7/2016,7:31:00 AM
272,City,NA,No Cars Available,11/7/2016,6:50:00 AM,NA,NA
273,Airport,261,Trip Completed,11/7/2016,6:51:00 AM,11/7/2016,7:55:00 AM
274,City,NA,No Cars Available,11/7/2016,6:50:00 AM,NA,NA
275,City,22,Cancelled,11/7/2016,7:00:00 AM,NA,NA
276,City,27,Cancelled,11/7/2016,6:52:00 AM,NA,NA
277,City,198,Cancelled,11/7/2016,6:59:00 AM,NA,NA
278,City,50,Cancelled,11/7/2016,6:55:00 AM,NA,NA
279,Airport,109,Trip Completed,11/7/2016,6:58:00 AM,11/7/2016,7:47:00 AM
280,Airport,219,Trip Completed,11/7/2016,7:05:00 AM,11/7/2016,7:41:00 AM
281,City,131,Trip Completed,11/7/2016,7:01:00 AM,11/7/2016,8:10:00 AM
282,City,141,Trip Completed,11/7/2016,6:56:00 AM,11/7/2016,8:11:00 AM
283,Airport,196,Trip Completed,11/7/2016,7:01:00 AM,11/7/2016,7:32:00 AM
284,City,298,Cancelled,11/7/2016,7:05:00 AM,NA,NA
285,City,74,Trip Completed,11/7/2016,7:02:00 AM,11/7/2016,7:40:00 AM
286,City,82,Trip Completed,11/7/2016,6:58:00 AM,11/7/2016,7:54:00 AM
287,City,NA,No Cars Available,11/7/2016,7:05:00 AM,NA,NA
288,City,NA,No Cars Available,11/7/2016,7:05:00 AM,NA,NA
289,City,44,Cancelled,11/7/2016,7:09:00 AM,NA,NA
290,City,195,Cancelled,11/7/2016,7:13:00 AM,NA,NA
291,City,224,Cancelled,11/7/2016,7:06:00 AM,NA,NA
292,City,231,Trip Completed,11/7/2016,7:14:00 AM,11/7/2016,7:51:00 AM
293,City,176,Cancelled,11/7/2016,7:07:00 AM,NA,NA
294,City,278,Cancelled,11/7/2016,7:12:00 AM,NA,NA
295,Airport,297,Cancelled,11/7/2016,7:10:00 AM,NA,NA
296,Airport,144,Trip Completed,11/7/2016,7:12:00 AM,11/7/2016,7:54:00 AM
297,Airport,206,Trip Completed,11/7/2016,7:13:00 AM,11/7/2016,7:43:00 AM
298,City,238,Cancelled,11/7/2016,7:15:00 AM,NA,NA
299,City,284,Cancelled,11/7/2016,7:13:00 AM,NA,NA
300,City,NA,No Cars Available,11/7/2016,7:13:00 AM,NA,NA
301,City,233,Trip Completed,11/7/2016,7:17:00 AM,11/7/2016,8:18:00 AM
302,City,209,Cancelled,11/7/2016,7:17:00 AM,NA,NA
303,Airport,276,Trip Completed,11/7/2016,7:19:00 AM,11/7/2016,8:01:00 AM
304,City,221,Trip Completed,11/7/2016,7:21:00 AM,11/7/2016,7:50:00 AM
305,City,272,Cancelled,11/7/2016,7:17:00 AM,NA,NA
306,City,15,Cancelled,11/7/2016,7:20:00 AM,NA,NA
307,City,70,Cancelled,11/7/2016,7:20:00 AM,NA,NA
308,City,105,Cancelled,11/7/2016,7:22:00 AM,NA,NA
309,City,240,Cancelled,11/7/2016,7:18:00 AM,NA,NA
310,Airport,13,Trip Completed,11/7/2016,7:24:00 AM,11/7/2016,8:28:00 AM
311,Airport,149,Trip Completed,11/7/2016,7:27:00 AM,11/7/2016,8:08:00 AM
312,City,5,Trip Completed,11/7/2016,7:27:00 AM,11/7/2016,8:31:00 AM
313,City,53,Trip Completed,11/7/2016,7:26:00 AM,11/7/2016,8:35:00 AM
314,Airport,275,Trip Completed,11/7/2016,7:28:00 AM,11/7/2016,8:15:00 AM
315,City,278,Cancelled,11/7/2016,7:34:00 AM,NA,NA
316,City,290,Cancelled,11/7/2016,7:26:00 AM,NA,NA
317,City,145,Cancelled,11/7/2016,7:29:00 AM,NA,NA
318,City,146,Trip Completed,11/7/2016,7:28:00 AM,11/7/2016,8:43:00 AM
319,City,161,Cancelled,11/7/2016,7:33:00 AM,NA,NA
320,City,187,Trip Completed,11/7/2016,7:32:00 AM,11/7/2016,8:44:00 AM
321,City,119,Cancelled,11/7/2016,7:30:00 AM,NA,NA
322,City,26,Trip Completed,11/7/2016,7:31:00 AM,11/7/2016,8:10:00 AM
323,City,57,Cancelled,11/7/2016,7:36:00 AM,NA,NA
324,City,85,Cancelled,11/7/2016,7:40:00 AM,NA,NA
325,City,182,Trip Completed,11/7/2016,7:34:00 AM,11/7/2016,8:44:00 AM
326,City,110,Cancelled,11/7/2016,7:33:00 AM,NA,NA
327,City,240,Cancelled,11/7/2016,7:33:00 AM,NA,NA
328,City,59,Cancelled,11/7/2016,7:33:00 AM,NA,NA
329,Airport,254,Trip Completed,11/7/2016,7:42:00 AM,11/7/2016,8:49:00 AM
330,Airport,223,Trip Completed,11/7/2016,7:39:00 AM,11/7/2016,8:52:00 AM
331,City,NA,No Cars Available,11/7/2016,7:47:00 AM,NA,NA
332,City,259,Cancelled,11/7/2016,7:40:00 AM,NA,NA
333,City,37,Trip Completed,11/7/2016,7:43:00 AM,11/7/2016,8:53:00 AM
334,City,103,Cancelled,11/7/2016,7:40:00 AM,NA,NA
335,City,197,Trip Completed,11/7/2016,7:39:00 AM,11/7/2016,8:23:00 AM
336,Airport,81,Trip Completed,11/7/2016,7:50:00 AM,11/7/2016,8:44:00 AM
337,City,NA,No Cars Available,11/7/2016,7:50:00 AM,NA,NA
338,City,248,Trip Completed,11/7/2016,7:50:00 AM,11/7/2016,8:55:00 AM
339,Airport,44,Trip Completed,11/7/2016,7:49:00 AM,11/7/2016,8:45:00 AM
340,City,289,Cancelled,11/7/2016,7:51:00 AM,NA,NA
341,City,94,Cancelled,11/7/2016,7:46:00 AM,NA,NA
342,City,NA,No Cars Available,11/7/2016,7:51:00 AM,NA,NA
343,City,129,Trip Completed,11/7/2016,7:57:00 AM,11/7/2016,8:55:00 AM
344,City,NA,No Cars Available,11/7/2016,7:52:00 AM,NA,NA
345,City,164,Cancelled,11/7/2016,7:52:00 AM,NA,NA
346,City,273,Cancelled,11/7/2016,7:54:00 AM,NA,NA
347,City,284,Cancelled,11/7/2016,7:51:00 AM,NA,NA
348,City,NA,No Cars Available,11/7/2016,7:54:00 AM,NA,NA
349,City,NA,No Cars Available,11/7/2016,7:51:00 AM,NA,NA
350,City,96,Trip Completed,11/7/2016,7:53:00 AM,11/7/2016,8:40:00 AM
351,City,99,Trip Completed,11/7/2016,7:53:00 AM,11/7/2016,8:55:00 AM
352,City,20,Cancelled,11/7/2016,7:54:00 AM,NA,NA
